Kategorija$Usluga$Poveznica$Pružatelj$Usluga aktivna od$Razina autentifikacije$Opis
Aktivno građanstvo $Registri neprofitnih pravnih osoba$https://registri.uprava.hr/#!izdavanjeElZapisa$Ministarstvo pravosuđa i uprave$2020-12-31$2 - niska sigurnost$Ova elektronička usluga omogućava korisnicima sustava e-Građani izdavanje elektroničkih zapisa iz sljedećih registara:Registar udruga RH, Registar stranih udruga u RH, Registar političkih stranaka RH, Registar zaklada RH, Registar stranih zaklada u RH, Evidencija pravnih osoba Katoličke Crkve u RH, Evidencija vjerskih zajednica u RH, Registar vijeća, koordinacija vijeća i predstavnika nacionalnih manjina.
Aktivno građanstvo $eSavjetovanja$https://esavjetovanja.gov.hr/ECon/Dashboard$Središnji državni ured za razvoj digitalnog društva$2015-04-27$2 - niska sigurnost$Aplikacija e-Savjetovanja omogućuje uključivanje u otvorena javna savjetovanja u postupku donošenja zakona, drugih propisa i akata.
Aktivno građanstvo $e-prijavnice Ministarstva kulture$https://e-prijavnice.min-kulture.hr/e-pisarnica$Ministarstvo kulture i medija$2019-09-01$2 - niska sigurnost$Usluga za korisnike/prijavitelje na javni poziv za financiranje javnih potreba u kulturi iz djelokruga Ministarstva kulture RH.
Aktivno građanstvo $MojZagreb$https://moj.zagreb.hr/$Grad Zagreb$2017-11-03$2 - niska sigurnost$Usluga građanima Grada Zagreba omogućava jedinstvenu točku mobilnog i web pristupa raznim e-uslugama Grada Zagreba.
Aktivno građanstvo $Informacije o putovanjima$http://www.mvep.hr/hr/konzularne-informacije/informacije-o-putovanjima/$Ministarstvo vanjskih i europskih poslova$2014-04-10$1 - nikakva ili najmanja sigurnost$Informacije o trenutnoj sigurnosnoj situaciji u zemlju destinacije za putovanje
Aktivno građanstvo $Pregled viznog sustava$http://www.mvep.hr/hr/konzularne-informacije/vize/pregled-viznog-sustava0/$Ministarstvo vanjskih i europskih poslova$2014-04-10$1 - nikakva ili najmanja sigurnost$Osnovne informacije o viznom sustavu koji vrijedi između Hrvatske i drugih država
Aktivno građanstvo $Registar geografskih imena$http://rgi.dgu.hr/$Državna geodetska uprava$2020-02-17$1 - nikakva ili najmanja sigurnost$Državna geodetska uprava je središnje tijelo državne uprave nadležno za održavanje i vođenje registara geografskih imena sukladno Zakonu o državnoj izmjeri i katastru nekretnina (NN 112/18).Registar sadrži geografska imena na teritoriju Republike Hrvatske (endonime).Aplikacija Registra geografskih imena omogućuje korisnicima pretraživanje geografskih imena i predlaganje novih geografskih imena.
Aktivno građanstvo $Jedinstveni registar domaćih životinja$http://stoka.hpa.hr/posjednik/login.aspx$Hrvatska poljoprivredna agencija - HPA$2014-04-24$1 - nikakva ili najmanja sigurnost$Jedinstveni registar domaćih životinja sastoji se od aplikacija za posjednike, veterinare, Hrvatsku poljoprivrednu agenciju te Agenciju za plaćanja
Aktivno građanstvo $Metković - Metkom internet$http://www.metkom.hr/$Grad Metković$2016-01-26$1 - nikakva ili najmanja sigurnost$Metkom internet
Branitelji $Predaja zahtjeva hrvatskih branitelja i članova obitelji$https://ebranitelji.branitelji.hr/kpm/f?p=700:1:0$Ministarstvo hrvatskih branitelja$2020-01-08$2 - niska sigurnost$Usluga omogućava fizičkim korisnicima predaju zahtjeva za otkup stana ili kuće pod pristupačnijim uvjetima od tržišnih u pogledu kamata i rokova otplate.
